project,file,line,context
famille_shift_matching,middleware.ts,12,utility / lib
famille_shift_matching,middleware.ts,16,utility / lib
famille_shift_matching,src/lib/recording-transcripts.ts,177,utility / lib
famille_shift_matching,src/lib/rpa/taimee.ts,21,utility / lib
famille_shift_matching,src/lib/rpa/taimee.ts,42,utility / lib
famille_shift_matching,src/lib/cm/userAdapter.ts,21,utility / lib
famille_shift_matching,src/lib/cm/userAdapter.ts,77,utility / lib
famille_shift_matching,src/lib/cm/contracts/googleDrive.ts,77,utility / lib
famille_shift_matching,src/lib/cm/auth/cmValidateTokenAndUser.ts,90,utility / lib
famille_shift_matching,src/lib/cm/auth/getAccessToken.ts,13,utility / lib
famille_shift_matching,src/lib/cm/audit/getDashboardSummary.ts,611,Server Action
famille_shift_matching,src/lib/cm/audit/getTimeline.ts,300,Server Action
famille_shift_matching,src/lib/cm/audit/withAuditLog.ts,48,utility / lib
famille_shift_matching,src/lib/cm/audit/withAuditLog.ts,73,utility / lib
famille_shift_matching,src/lib/auth/getUserFromBearer.ts,13,utility / lib
famille_shift_matching,src/lib/auth/getUserFromBearer.ts,14,utility / lib
famille_shift_matching,src/context/RoleContext.tsx,24,browser client
famille_shift_matching,src/components/AlertBar.tsx,63,browser client
famille_shift_matching,src/components/shift-reject-performance-test/ShiftRejectCardPerformanceTest.tsx,288,browser client
famille_shift_matching,src/components/shift-reject-performance-test/ShiftRejectCardPerformanceTest.tsx,330,browser client
famille_shift_matching,src/components/shift-reject-performance-test/ShiftRejectCardPerformanceTest.tsx,345,browser client
famille_shift_matching,src/components/shift-reject-performance-test/ShiftRejectPerformanceTestClient.tsx,72,browser client
famille_shift_matching,src/components/shift-reject-performance-test/ShiftRejectPerformanceTestClient.tsx,378,browser client
famille_shift_matching,src/components/shift-reject-performance-test/ShiftRejectPerformanceTestClient.tsx,513,browser client
famille_shift_matching,src/components/shift-coordinate-performance-test/GroupAddButtonPerformanceTest.tsx,26,browser client
famille_shift_matching,src/components/shift-coordinate-performance-test/ShiftCardPerformanceTest.tsx,156,browser client
famille_shift_matching,src/components/shift-coordinate-performance-test/ShiftCardPerformanceTest.tsx,229,browser client
famille_shift_matching,src/components/shift-coordinate-performance-test/ShiftCoordinatePerformanceTestClient.tsx,168,browser client
famille_shift_matching,src/components/shift-coordinate-performance-test/ShiftCoordinatePerformanceTestClient.tsx,297,browser client
famille_shift_matching,src/components/shift-coordinate-performance-test/ShiftCoordinatePerformanceTestClient.tsx,338,browser client
famille_shift_matching,src/components/shift-coordinate-performance-test/ShiftCoordinatePerformanceTestClient.tsx,367,browser client
famille_shift_matching,src/components/shift-coordinate-performance-test/ShiftCoordinatePerformanceTestClient.tsx,922,browser client
famille_shift_matching,src/components/shift/DepartedStaffShiftBatchCard.tsx,13,browser client
famille_shift_matching,src/components/shift/GroupAddButton.tsx,16,browser client
famille_shift_matching,src/components/shift/ShiftCard.tsx,545,browser client
famille_shift_matching,src/components/shift/ShiftCard.tsx,565,browser client
famille_shift_matching,src/components/shift/ShiftCard.tsx,689,browser client
famille_shift_matching,src/components/shift/ShiftCard.tsx,1057,browser client
famille_shift_matching,src/components/shift/ShiftCard.tsx,1201,browser client
famille_shift_matching,src/components/shift/ShiftCard.tsx,1261,browser client
famille_shift_matching,src/components/shift/ShiftCard.tsx,1285,browser client
