project,file,line,finding
famille_shift_matching,src/lib/plaud_support_progress_summary/plaud_support_progress_summary.ts,795,credential-like value may be logged
famille_shift_matching,src/lib/lineworks/refreshAccessToken.ts,79,credential-like value may be logged
famille_shift_matching,src/lib/cm/rpa/auth.ts,122,credential-like value may be logged
famille_shift_matching,src/components/roster/RosterBoardDaily.tsx,598,credential-like value may be logged
famille_shift_matching,src/components/roster/RosterBoardDaily.tsx,603,credential-like value may be logged
famille_shift_matching,src/app/api/upload/meal-cost/route.ts,50,credential-like value may be logged
famille_shift_matching,src/app/api/shifts/route.ts,41,credential-like value may be logged
famille_shift_matching,src/app/api/shift-assign-after-rpa/route.ts,34,credential-like value may be logged
famille_shift_matching,src/app/api/roster/shifts/[id]/route.ts,61,credential-like value may be logged
famille_shift_matching,src/app/api/google-calendar/register-calendars/route.ts,92,credential-like value may be logged
famille_shift_matching,src/app/api/dialogflow/webhook/route.ts,1153,credential-like value may be logged
famille_shift_matching,src/app/api/cron/user_ojt/route.ts,16,credential-like value may be logged
famille_shift_matching,src/app/api/cron/user_ojt/route.ts,24,credential-like value may be logged
famille_shift_matching,src/app/api/cron/plaud-support-progress-summary/route.ts,51,credential-like value may be logged
famille_shift_matching,src/app/api/cron/plaud-support-progress-summary/route.ts,59,credential-like value may be logged
famille_shift_matching,src/app/api/cron/kaipoke_user_auto_add/route.ts,294,credential-like value may be logged
famille_shift_matching,src/app/api/cron/google-calendar-sync/route.ts,81,credential-like value in URL query
famille_shift_matching,src/app/api/cron/cm/log-retention/route.ts,18,credential-like value in URL query
famille-voice54,supabase/functions/transcribe-recording/index.ts,88,credential-like value may be logged
famille-voice54,supabase/functions/transcribe-recording/index.ts,98,credential-like value may be logged
GAS,LibSupabase/コード.js,2,JWT-like literal
GAS,LibSupabase/コード.js,3,secret-like value uses NEXT_PUBLIC_ name
GAS,LibSupabase/コード.js,3,JWT-like literal
GAS,LibSupabase/コード.js,3,service secret-like literal
GAS,UpdateAccessTokenLib/コード.js,10,credential-like value may be logged
GAS,LibLineWorksAccess/コード.js,43,JWT-like literal
GAS,LwBotMessagetoUserID/コード.js,7,credential-like value may be logged
GAS,LwDataToSupabase/コード.js,52,secret-like value uses NEXT_PUBLIC_ name
GAS,LwDataToSupabase/コード.js,81,secret-like value uses NEXT_PUBLIC_ name
GAS,LwDataToSupabase/コード.js,119,secret-like value uses NEXT_PUBLIC_ name
GAS,LwDataToSupabase/コード.js,228,secret-like value uses NEXT_PUBLIC_ name
GAS,LwDataToSupabase/コード.js,347,secret-like value uses NEXT_PUBLIC_ name
GAS,LwDataToSupabase/コード.js,447,secret-like value uses NEXT_PUBLIC_ name
GAS,kaipokecheck/コード.js,287,secret-like value uses NEXT_PUBLIC_ name
GAS,kaipokecheck/コード.js,325,secret-like value uses NEXT_PUBLIC_ name
GAS,cm_fax_receiver/コード.js,97,secret-like value uses NEXT_PUBLIC_ name
GAS,cm_fax_receiver/コード.js,1411,credential-like value may be logged
GAS,cm_fax_receiver/コード.js,1802,credential-like value may be logged
GAS,cm_local-fax-phonebook/コード.js,36,secret-like value uses NEXT_PUBLIC_ name
GAS,cm_local-fax-phonebook/コード.js,831,credential-like value may be logged
GAS,WarningNonRes/コード.js,194,credential-like value may be logged
GAS,WarningNonRes/コード.js,327,secret-like value uses NEXT_PUBLIC_ name
GAS,DigiSignTransfer/コード.js,5,secret-like value uses NEXT_PUBLIC_ name
GAS,DigiSignTransfer/コード.js,11,credential-like value may be logged
GAS,DigiSignTransfer/コード.js,107,credential-like value may be logged
GAS,DigiSignTransfer/コード.js,488,secret-like value uses NEXT_PUBLIC_ name
GAS,entrybot/コード.js,297,secret-like value uses NEXT_PUBLIC_ name
GAS,entrybot/コード.js,486,secret-like value uses NEXT_PUBLIC_ name
GAS,FAXTransfer/コード.js,5,secret-like value uses NEXT_PUBLIC_ name
GAS,FAXTransfer/コード.js,53,secret-like value uses NEXT_PUBLIC_ name
GAS,FAXTransfer/コード.js,55,credential-like value may be logged
GAS,FAXTransfer/コード.js,933,secret-like value uses NEXT_PUBLIC_ name
GAS,FAXTransfer/コード.js,935,credential-like value may be logged
GAS,FAXTransfer/コード.js,1123,secret-like value uses NEXT_PUBLIC_ name
GAS,FAXTransfer/コード.js,1129,credential-like value may be logged
GAS,FAXTransfer/コード.js,1200,credential-like value may be logged
GAS,FAXTransfer/コード.js,1909,credential-like value may be logged
GAS,FAXTransfer/コード.js,2153,secret-like value uses NEXT_PUBLIC_ name
GAS,FAXTransfer/コード.js,2156,credential-like value may be logged
