function,arguments,owner,security_definer,public_execute,anon_execute,authenticated_execute,service_role_execute,referenced_tables,risk
Update email to users,,postgres,false,true,true,true,true,form_entries|msg_lw_log|users,High
add_meeting_shifts_eom,"p_kaipoke_cs_id text, p_minutes integer",postgres,false,true,true,true,true,shift|users,High
add_meeting_shifts_for_month_eom_same_time,"p_target_ym text, p_kaipoke_cs_id text",postgres,false,true,true,true,true,shift|users,High
add_office_to_fax,"p_fax_received_id bigint, p_office_id bigint, p_assigned_by character varying, p_is_primary boolean, p_register_fax_proxy boolean",postgres,false,true,true,true,true,cm_fax_received|cm_fax_received_offices|cm_kaipoke_other_office|fax,High
add_offices_to_fax_bulk,"p_fax_received_id bigint, p_office_ids bigint[], p_assigned_by character varying",postgres,false,true,true,true,true,cm_fax_received|cm_fax_received_offices|cm_kaipoke_other_office|fax,High
add_pages_to_document,"p_document_id bigint, p_page_ids bigint[]",postgres,false,true,true,true,true,cm_fax_document_pages|fax,High
assign_user_to_shift,"p_shift_id bigint, p_user_id text, p_role_code text, p_accompany boolean",postgres,false,true,true,true,true,shift|shift_assign_log,High
assign_user_to_shift_v2,"p_shift_id bigint, p_user_id text, p_role_code text, p_accompany boolean",postgres,false,true,true,true,true,shift|shift_assign_log,High
audit_diff_cols,"old_row jsonb, new_row jsonb",postgres,false,true,true,true,true,,High
batch_reassign_departed_staff_shifts,"p_actor_auth_id uuid, p_start_at timestamp without time zone, p_from_user_id text, p_to_user_id text",postgres,true,false,false,false,true,shift|shift_weekly_template|users,Review
build_cs_document_json_from_cs_docs,"p_id uuid, p_url text, p_doc_name text, p_doc_date_raw timestamp with time zone, p_source text, p_summary text, p_doc_type_id uuid, p_classification_confidence integer, p_created_at timestamp with time zone, p_updated_at timestamp with time zone, p_meta jsonb",postgres,false,true,true,true,true,cs_docs,High
cash_dist,"money, money",supabase_admin,false,true,true,true,true,,High
classify_cs_doc_label,"p_text text, p_current_label text",postgres,false,true,true,true,true,user_doc_master,High
cm_contract_update_updated_at,,postgres,false,true,true,true,true,,High
cm_get_alert_stats,,postgres,true,true,true,true,true,cm_alerts,Critical
cm_resolve_alert_by_reference,"p_kaipoke_cs_id text, p_category text, p_reference_id text, p_resolution_note text",postgres,true,false,true,true,true,cm_alerts,Critical
cm_resolve_alerts_by_termination,"p_category text, p_resolution_note text",postgres,true,false,true,true,true,cm_alerts|cm_kaipoke_info,Critical
cron_alert_dedupe_and_recalc,,postgres,false,true,true,true,true,alert_log,High
cron_sync_cs_documents,,postgres,true,true,true,true,true,cs_docs|cs_kaipoke_info|user_doc_master,Critical
dashboard_service_time_qualification_staff_rows,,postgres,true,true,true,true,true,form_entries|shift|shift_service_code|user_doc_master,Critical
date_dist,"date, date",supabase_admin,false,true,true,true,true,,High
deploy_weekly_template,"p_month text, p_cs_id text, p_policy text",postgres,false,true,true,true,true,shift|shift_weekly_template,High
deploy_weekly_template_bulk,"p_month text, p_policy text",postgres,false,true,true,true,true,shift|shift_weekly_template,High
deploy_weekly_template_bulk_test,"p_month text, p_policy text",postgres,false,true,true,true,true,shift|shift_weekly_template,High
deploy_weekly_template_fixed_nth_only,p_month text,postgres,false,true,true,true,true,shift|shift_weekly_template,High
deploy_weekly_template_regular_only,p_month text,postgres,false,true,true,true,true,shift|shift_weekly_template,High
exec_sql,sql_text text,postgres,true,true,true,true,true,,Critical
extract_doc_date_raw,p_text text,postgres,false,true,true,true,true,fax,High
extract_drive_file_id,p_url text,postgres,false,true,true,true,true,,High
extract_user_name_raw,p_text text,postgres,false,true,true,true,true,,High
float4_dist,"real, real",supabase_admin,false,true,true,true,true,,High
float8_dist,"double precision, double precision",supabase_admin,false,true,true,true,true,,High
fn_touch_system_updated_at,,postgres,false,true,true,true,true,,High
gbt_bit_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_bit_consistent,"internal, bit, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_bit_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_bit_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_bit_same,"gbtreekey_var, gbtreekey_var, internal",supabase_admin,false,true,true,true,true,,High
gbt_bit_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_bool_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_bool_consistent,"internal, boolean, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_bool_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_bool_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_bool_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_bool_same,"gbtreekey2, gbtreekey2, internal",supabase_admin,false,true,true,true,true,,High
gbt_bool_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_bpchar_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_bpchar_consistent,"internal, character, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_bytea_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_bytea_consistent,"internal, bytea, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_bytea_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_bytea_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_bytea_same,"gbtreekey_var, gbtreekey_var, internal",supabase_admin,false,true,true,true,true,,High
gbt_bytea_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_cash_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_cash_consistent,"internal, money, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_cash_distance,"internal, money, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_cash_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_cash_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_cash_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_cash_same,"gbtreekey16, gbtreekey16, internal",supabase_admin,false,true,true,true,true,,High
gbt_cash_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_date_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_date_consistent,"internal, date, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_date_distance,"internal, date, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_date_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_date_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_date_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_date_same,"gbtreekey8, gbtreekey8, internal",supabase_admin,false,true,true,true,true,,High
gbt_date_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_decompress,internal,supabase_admin,false,true,true,true,true,,High
gbt_enum_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_enum_consistent,"internal, anyenum, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_enum_fetch,internal,supabase_admin,false,true,true,true,true,,High
