project,file,line,context,key_type,object_type,object_name,operation,receiver,catalog_match
famille_shift_matching,middleware.ts,70,utility / lib,internal API key,TABLE_OR_VIEW,users,select,supabase,yes
famille_shift_matching,middleware.ts,113,utility / lib,indirect/unknown,TABLE_OR_VIEW,users,select,supabase,yes
famille_shift_matching,src/lib/addStaffLog.ts,14,utility / lib,indirect/unknown,TABLE_OR_VIEW,staff_log,insert,supabase,yes
famille_shift_matching,src/lib/auto_assign_staff.ts,76,utility / lib,indirect/unknown,RPC,exec_sql,execute,supabase,yes
famille_shift_matching,src/lib/cs_contract_plan.ts,197,utility / lib,service_role/server secret,TABLE_OR_VIEW,shift,select,supabaseAdmin,yes
famille_shift_matching,src/lib/cs_contract_plan.ts,246,utility / lib,service_role/server secret,TABLE_OR_VIEW,shift_service_code,select,supabaseAdmin,yes
famille_shift_matching,src/lib/cs_contract_plan.ts,363,utility / lib,service_role/server secret,TABLE_OR_VIEW,cs_kaipoke_info,select,supabaseAdmin,yes
famille_shift_matching,src/lib/cs_contract_plan.ts,399,utility / lib,service_role/server secret,TABLE_OR_VIEW,user_doc_master,select,supabaseAdmin,yes
famille_shift_matching,src/lib/cs_docs.ts,128,utility / lib,indirect/unknown,TABLE_OR_VIEW,cs_docs,select,supabase,yes
famille_shift_matching,src/lib/cs_docs.ts,183,utility / lib,indirect/unknown,TABLE_OR_VIEW,cs_kaipoke_info,select,supabase,yes
famille_shift_matching,src/lib/cs_docs.ts,241,utility / lib,indirect/unknown,TABLE_OR_VIEW,cs_docs,select+update,supabase,yes
famille_shift_matching,src/lib/cs_docs.ts,291,utility / lib,indirect/unknown,TABLE_OR_VIEW,cs_docs,delete,supabase,yes
famille_shift_matching,src/lib/cs_docs.ts,330,utility / lib,indirect/unknown,TABLE_OR_VIEW,cs_kaipoke_info,select,supabase,yes
famille_shift_matching,src/lib/cs_docs.ts,363,utility / lib,indirect/unknown,TABLE_OR_VIEW,cs_kaipoke_info,update,supabase,yes
famille_shift_matching,src/lib/cs_docs_judge_logics.ts,354,utility / lib,indirect/unknown,TABLE_OR_VIEW,user_doc_master,select,supabase,yes
famille_shift_matching,src/lib/cs_docs_judge_logics.ts,376,utility / lib,indirect/unknown,TABLE_OR_VIEW,cs_docs,select,supabase,yes
famille_shift_matching,src/lib/cs_docs_judge_logics.ts,494,utility / lib,indirect/unknown,TABLE_OR_VIEW,user_doc_master,update,supabase,yes
famille_shift_matching,src/lib/cs_docs_judge_logics.ts,526,utility / lib,indirect/unknown,TABLE_OR_VIEW,user_doc_master,select,supabase,yes
famille_shift_matching,src/lib/cs_docs_judge_logics.ts,546,utility / lib,indirect/unknown,TABLE_OR_VIEW,cs_docs,select,supabase,yes
famille_shift_matching,src/lib/cs_docs_sync.ts,23,utility / lib,indirect/unknown,RPC,sync_cs_docs_to_kaipoke_documents,execute,supabase,yes
famille_shift_matching,src/lib/disabilityCheckJisseki.ts,14,utility / lib,service_role/server secret,RPC,refresh_disability_check_jisseki_staff,execute,supabaseAdmin,yes
famille_shift_matching,src/lib/getAccessToken.ts,13,utility / lib,service_role/server secret,TABLE_OR_VIEW,env_variables,select,supabase,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,96,utility / lib,service_role/server secret,TABLE_OR_VIEW,google_maps_distance_cron_runs,select+insert,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,116,utility / lib,service_role/server secret,TABLE_OR_VIEW,shift,select,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,126,utility / lib,service_role/server secret,TABLE_OR_VIEW,users,select,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,127,utility / lib,service_role/server secret,TABLE_OR_VIEW,cs_kaipoke_info,select,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,136,utility / lib,service_role/server secret,TABLE_OR_VIEW,form_entries,select,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,137,utility / lib,service_role/server secret,TABLE_OR_VIEW,form_entries,select,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,155,utility / lib,service_role/server secret,TABLE_OR_VIEW,google_maps_distance_cron_runs,update+upsert,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,160,utility / lib,service_role/server secret,TABLE_OR_VIEW,manager_distance_segments,select+upsert,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,166,utility / lib,service_role/server secret,TABLE_OR_VIEW,google_maps_distance_cache,select+update+upsert,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,169,utility / lib,service_role/server secret,TABLE_OR_VIEW,manager_distance_segments,update+upsert,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,176,utility / lib,service_role/server secret,TABLE_OR_VIEW,google_maps_distance_cache,select+update+upsert,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,177,utility / lib,service_role/server secret,TABLE_OR_VIEW,manager_distance_segments,update+upsert,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,183,utility / lib,service_role/server secret,TABLE_OR_VIEW,google_maps_distance_cache,update+upsert,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,184,utility / lib,service_role/server secret,TABLE_OR_VIEW,manager_distance_segments,update,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,207,utility / lib,service_role/server secret,TABLE_OR_VIEW,google_maps_distance_cron_runs,update,supabaseAdmin,yes
famille_shift_matching,src/lib/googleMapsDistance.ts,210,utility / lib,service_role/server secret,TABLE_OR_VIEW,google_maps_distance_cron_runs,update,supabaseAdmin,yes
famille_shift_matching,src/lib/holidayShift.ts,21,utility / lib,service_role/server secret,TABLE_OR_VIEW,holiday_master,select,supabaseAdmin,yes
