table,classification,priority,rls_enabled,rls_forced,anon_select,anon_insert,anon_update,anon_delete,authenticated_select,authenticated_insert,authenticated_update,authenticated_delete,service_role_privileges,policy_count,unconditional_policy_count,sensitive_columns,sensitive_exposed,main_usage,gas_usage,voice_usage,rpa_usage,runner_usage,operations,contexts
_tmp_restore_documents,C,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,documents,true,0,0,0,0,0,,
alert_log,A,High,false,false,true,true,true,true,true,true,true,true,arwdDxt,3,1,,false,61,0,0,0,0,update|insert|select+update|insert+update|select|select+insert|delete,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:utility / lib:indirect/unknown|famille_shift_matching:browser client:anon/publishable + user JWT (expected)|famille_shift_matching:Route Handler / internal API:service_role/server secret|famille_shift_matching:Cron:service_role/server secret
api_shift_coord_log,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,requester_auth_id,true,2,0,0,0,0,insert,famille_shift_matching:Route Handler / internal API:service_role/server secret
assessments_records,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,author_user_id|author_name,true,13,0,0,0,0,select|select+insert|select+update,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Route Handler / internal API:service_role/server secret
audit_error_log,C,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,table_name,true,0,0,0,0,0,,
audit_log,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,table_name,true,3,0,0,0,0,insert|select|select+update,famille_shift_matching:Route Handler / internal API:service_role/server secret|famille_shift_matching:Cron:service_role/server secret
bento_pickup_locations,A,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,2,0,name,false,4,0,0,0,0,select|update,famille_shift_matching:browser client:anon/publishable + user JWT (expected)|famille_shift_matching:Route Handler / internal API:service_role/server secret
bento_survey_menus,A,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,4,0,name,false,8,0,0,0,0,select|insert|update|insert+update|update+delete,famille_shift_matching:browser client:anon/publishable + user JWT (expected)|famille_shift_matching:Route Handler / internal API:service_role/server secret
bento_survey_responses,A,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,2,0,,false,7,0,0,0,0,select|update|select+upsert,famille_shift_matching:browser client:anon/publishable + user JWT (expected)|famille_shift_matching:Route Handler / internal API:service_role/server secret
bento_surveys,A,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,4,0,,false,9,0,0,0,0,select|select+insert+update|select+insert|update+delete|insert+delete,famille_shift_matching:browser client:anon/publishable + user JWT (expected)|famille_shift_matching:Route Handler / internal API:service_role/server secret
biz_stats_defect_sum,C,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,orgunitname,true,0,0,0,0,0,,
biz_stats_shift_sum,C,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,orgunitname,true,0,0,0,0,0,,
client_monitoring_events,B,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,actor_name,false,2,0,0,0,0,insert|select,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Route Handler / internal API:service_role/server secret
client_monitoring_goals,B,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,,false,5,0,0,0,0,select|insert+update|update,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Route Handler / internal API:service_role/server secret
client_monitoring_pdf_snapshots,B,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,filename|created_by_name,false,5,0,0,0,0,select|select+insert+update|select+insert,famille_shift_matching:Route Handler / internal API:service_role/server secret
client_monitorings,B,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,created_by_name|confirmed_by_name,false,11,0,0,0,0,select|select+insert|update,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_alert_batch_runs,A,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,3,3,,false,4,0,0,0,0,select+insert+update|update|select+update|select,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:browser client:anon/publishable + user JWT (expected)
cm_alerts,A,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,3,3,client_name,false,7,0,0,0,0,select|select+update|insert+update|select+insert,famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:browser client:anon/publishable + user JWT (expected)
cm_contract_consents,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,gdrive_file_id|gdrive_file_url|gdrive_file_path|ip_address|scribe_name|agent_name|agent_authority,true,4,0,0,0,0,select+insert|select|insert,famille_shift_matching:Server Action:service_role/server secret
cm_contract_document_signers,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,document_id|signer_name|signer_email,true,4,0,0,0,0,insert+delete|select|select+update,famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:Webhook:service_role/server secret
cm_contract_documents,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,document_type|document_name|digisigner_document_id|gdrive_file_id|gdrive_file_url|gdrive_file_path|unsigned_gdrive_file_id|unsigned_gdrive_file_url|signed_gdrive_file_id|signed_gdrive_file_url,true,8,0,0,0,0,select|select+insert+delete|delete|select+update,famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:Webhook:service_role/server secret
cm_contract_form_data,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,client_name|client_address|client_phone|client_fax|emergency_phone|guardian_document_checked|staff_name|care_manager_name|care_manager_phone|scribe_name|scribe_address|scribe_phone|agent_name|agent_authority|agent_address|agent_phone,true,1,0,0,0,0,insert,famille_shift_matching:Server Action:service_role/server secret
cm_contract_templates,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,name,true,5,0,0,0,0,select|update,famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:utility / lib:service_role/server secret
cm_contract_verification_documents,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,name,true,1,0,0,0,0,select,famille_shift_matching:Server Action:service_role/server secret
cm_contract_verification_methods,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,name,true,1,0,0,0,0,select,famille_shift_matching:Server Action:service_role/server secret
cm_contract_webhook_logs,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,digisigner_document_id|payload,true,8,0,0,0,0,select|insert|update,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Webhook:service_role/server secret
cm_contracts,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,verification_document_id|verification_document_other,true,16,0,0,0,0,select|update|select+insert|delete|select+insert+delete|insert+delete|select+update,famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:Webhook:service_role/server secret
cm_document_types,B,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,2,2,name|short_name,false,1,0,0,0,0,select,famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_fax_client_link,C,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,fax_number_normalized,true,0,0,0,0,0,,
cm_fax_document_clients,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,fax_document_id|client_name,true,2,0,0,0,0,select|insert+delete,famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_fax_document_pages,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,fax_document_id|fax_page_id,true,5,0,0,0,0,select|insert+delete|delete|insert+update,famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_fax_documents,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,fax_received_id|document_type_id|suggested_document_type_id,true,5,0,0,0,0,select|select+insert|insert+delete|delete,famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_fax_extracted_data,C,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,3,3,fax_page_id,false,0,0,0,0,0,,
cm_fax_ocr_results,B,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,2,2,fax_received_id|detected_client_name,false,1,0,0,0,0,select,famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_fax_office_patterns,C,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,2,2,,false,0,0,0,0,0,,
cm_fax_pages,B,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,4,4,fax_received_id|document_type_id|suggested_client_name,false,5,0,0,0,0,select|update,famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_fax_received,D,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,3,3,gmail_message_id|fax_number|file_name|file_path|file_id|suggested_office_name,false,5,11,0,0,0,select|update|unknown,famille_shift_matching:Route Handler / internal API:service_role/server secret|GAS:GAS:indirect/unknown
cm_fax_received_offices,D,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,fax_received_id,true,3,3,0,0,0,select|select+insert+update|unknown,famille_shift_matching:Route Handler / internal API:service_role/server secret|GAS:GAS:indirect/unknown
cm_fax_sender_patterns,C,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,fax_number|sender_name|total_fax_count|last_fax_received_at,true,0,0,0,0,0,,
cm_fax_text_patterns,C,Low,true,false,true,true,true,true,true,true,true,true,arwdDxt,2,2,client_name,false,0,0,0,0,0,,
cm_job_items,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,target_name,true,5,0,0,0,0,select|update|upsert,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_job_queues,B,High,true,false,true,true,true,true,true,true,true,true,arwdDxt,1,1,name,false,3,0,0,0,0,select,famille_shift_matching:utility / lib:service_role/server secret
cm_job_types,B,High,true,false,true,true,true,true,true,true,true,true,arwdDxt,1,1,name|schedule_payload,false,15,0,0,0,0,select+update|update|select|select+insert,famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:utility / lib:service_role/server secret
cm_jobs,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,payload,true,11,0,0,0,0,select+insert|select+update|update|select,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:Route Handler / internal API:service_role/server secret
cm_kaipoke_benefit_limit,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,,true,1,0,0,0,0,select,famille_shift_matching:utility / lib:service_role/server secret
cm_kaipoke_info,D,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,name|kana|birth_date|postal_code|phone_01|phone_02|email|documents|kana_sei|kana_mei,true,14,1,1,0,0,select|update|unknown,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:Route Handler / internal API:service_role/server secret|famille-voice54:Edge Function:service_role/server secret|GAS:GAS:indirect/unknown
cm_kaipoke_insurance,B,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,insurer_name,true,7,0,0,0,0,select,famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Server Action:service_role/server secret
cm_kaipoke_other_office,D,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,office_name|is_satellite|phone|fax|address|fax_proxy|fax_normalized|fax_proxy_normalized,true,12,3,0,0,0,select+update|select|upsert|update|unknown,famille_shift_matching:Server Action:service_role/server secret|famille_shift_matching:utility / lib:service_role/server secret|famille_shift_matching:Route Handler / internal API:service_role/server secret|GAS:GAS:indirect/unknown
cm_kaipoke_service_usage,D,Critical,false,false,true,true,true,true,true,true,true,true,arwdDxt,0,0,service_name|office_name_display,true,3,1,0,0,0,upsert|select|unknown,famille_shift_matching:Route Handler / internal API:service_role/server secret|GAS:GAS:indirect/unknown
